 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Perinuclei
473	I/IIa	2020.630	62.345	778	1472	74.291	50.495	NaN
474	I/IIa	1996.789	84.500	718	1387	105.887	39.449	NaN
475	I/IIa	1693.499	73.857	1577	1404	164.787	36.977	NaN
476	I	1436.328	84.701	379	1507	58.891	27.280	NaN
477	IIb	68.006	11.629	955	1405	36.254	8.127	NaN
478	IIb	253.654	23.533	863	1431	50.389	16.254	NaN
479	I/IIa	1894.780	62.829	932	1448	5.711	40.695	NaN
480	IIa	1625.493	57.219	1708	1422	123.864	42.697	NaN
481	I	2115.603	60.651	540	1423	98.297	53.494	NaN
482	IIa	27.359	7.528	1837	1433	48.366	5.001	NaN
483	I/IIa	1847.489	69.405	1565	1433	119.105	44.328	NaN
484	IIa	2154.687	79.571	693	1435	98.130	38.690	NaN
485	I	2198.461	61.209	800	1497	34.177	50.718	NaN
486	I	2434.918	85.310	1095	1443	146.659	43.644	NaN
487	IIb	261.079	24.897	885	1440	151.504	15.473	NaN
488	I/IIa	1898.298	65.368	1411	1541	77.293	40.831	NaN
489	I/IIa	1484.010	60.693	1202	1444	124.509	37.395	NaN
490	I/IIa	1228.011	56.890	1312	1448	157.380	31.432	NaN
491	I/IIa	2207.841	62.068	1460	1538	63.693	50.014	NaN
492	I	1765.413	69.644	441	1555	73.843	38.812	NaN
493	I/IIa	1612.205	52.830	1037	1453	129.719	42.415	NaN
494	IIa	2289.526	70.211	1620	1467	155.260	46.914	NaN
495	I/IIa	1949.497	68.808	910	1475	162.553	39.659	NaN
496	I/IIa	1562.568	67.810	1271	1457	108.268	31.884	NaN
497	IIa	458.452	28.819	1764	1504	24.341	24.611	NaN
498	IIx	2569.366	79.615	472	1597	74.982	45.037	NaN
499	IIx	2963.721	95.309	630	1626	82.082	41.625	NaN
500	IIb	513.170	37.640	888	1485	101.497	21.256	NaN
501	I/IIa	1210.815	50.573	1321	1494	98.531	35.916	NaN
502	I/IIa	871.177	37.614	767	1551	68.552	33.134	NaN
503	IIa	204.408	19.421	1756	1510	146.821	15.472	NaN
504	I/IIa	1958.096	65.165	1019	1507	130.721	42.751	NaN
505	I/IIa	1770.885	61.993	1105	1507	111.909	46.888	NaN
506	IIa	2560.767	80.061	555	1634	75.530	45.065	NaN
507	I/IIa	1958.877	70.119	1535	1510	129.936	37.699	NaN
508	I	545.609	40.909	912	1513	128.797	18.393	NaN
509	I/IIa	1798.634	78.246	809	1515	104.813	32.328	NaN
510	IIa	2039.390	77.733	1625	1533	168.871	38.883	NaN
511	I/IIa	1836.936	57.079	1173	1607	61.189	47.513	NaN
512	I/IIa	1577.420	66.823	1237	1533	132.346	36.253	NaN
513	I/IIa	1442.190	66.521	735	1537	130.426	36.756	NaN
514	I/IIa	2065.185	61.062	965	1637	79.380	46.263	NaN
515	IIb	61.752	11.796	861	1542	122.005	6.877	NaN
516	I/IIa	1802.542	58.539	904	1543	109.983	40.636	NaN
517	I/IIa	1934.646	60.127	1336	1618	44.157	49.432	NaN
518	I/IIa	1815.831	63.294	1425	1549	122.905	39.832	NaN
519	I/IIa	1255.370	58.862	1484	1546	120.651	30.648	NaN
520	IIb	37.130	8.885	697	1572	39.289	5.627	NaN
521	IIb	60.189	11.060	673	1582	42.709	8.127	NaN
522	I/IIa	2588.908	69.952	700	1580	151.144	54.678	NaN
523	IIa	2131.628	69.622	1623	1580	152.745	46.319	NaN
524	I	304.853	25.746	437	1591	150.945	18.755	NaN
525	I	3435.071	90.744	485	1730	71.940	72.683	NaN
526	I/IIa	1695.062	62.907	1026	1622	10.305	42.512	NaN
527	I/IIa	1604.779	58.285	1550	1593	112.714	40.636	NaN
528	I/IIa	1649.334	64.152	1187	1622	142.125	37.820	NaN
529	I/IIa	1245.208	54.203	1129	1702	82.711	32.757	NaN
530	I	2173.447	75.441	556	1722	55.125	47.522	NaN
531	IIb	268.115	24.414	858	1650	50.194	18.262	NaN
532	IIb	153.599	18.173	1290	1642	49.185	13.129	NaN
533	I	2376.683	68.555	659	1732	80.022	49.205	NaN
534	I/IIa	897.754	55.672	1491	1625	124.939	26.097	NaN
535	I/IIa	1887.354	81.080	1167	1627	107.038	33.921	NaN
536	IIb	26.968	7.528	541	1631	131.634	5.001	NaN
537	I/IIa	1906.896	71.404	1418	1635	139.616	39.344	NaN
538	I/IIa	2259.822	69.405	742	1696	17.292	50.077	NaN
539	I/IIa	2121.466	74.563	886	1738	56.976	43.372	NaN
540	I/IIa	1312.823	56.487	1342	1638	152.301	34.384	NaN
541	I/IIa	2221.129	75.903	1613	1757	85.276	45.917	NaN
542	I/IIa	1913.150	71.110	1017	1750	83.437	37.096	NaN
543	I	1222.149	60.577	930	1711	46.254	30.463	NaN
544	IIb	27.359	7.631	848	1640	124.992	4.376	NaN
545	I/IIa	1820.130	63.080	1294	1736	70.308	39.386	NaN
546	I/IIa	1327.675	63.549	1203	1662	105.403	35.010	NaN
547	I/IIa	1534.819	55.987	1064	1670	113.703	41.849	NaN
548	I/IIa	1611.423	75.366	1344	1688	110.389	29.297	NaN
549	I/IIa	1870.939	60.757	1395	1699	130.409	42.702	NaN
550	IIb	32.830	8.006	543	1704	51.340	5.627	NaN
551	IIb	90.283	16.891	1562	1700	141.009	8.183	NaN
552	I	472.132	37.395	686	1750	51.789	20.190	NaN
553	I/IIa	1852.961	69.078	1548	1703	115.174	40.036	NaN
554	I/IIa	1036.501	59.863	902	1753	24.692	27.442	NaN
555	I/IIa	1440.627	57.875	1514	1802	79.418	38.061	NaN
556	I	116.470	15.262	450	1712	145.008	11.253	NaN
557	I/IIa	2538.099	85.849	737	1718	154.555	40.120	NaN
558	IIb	517.078	42.923	859	1717	102.619	22.289	NaN
559	I/IIa	1455.870	68.726	1129	1720	111.898	39.297	NaN
560	I/IIa	1757.205	62.470	1240	1829	67.027	39.386	NaN
561	I/IIa	1537.946	54.880	1018	1757	137.770	42.843	NaN
562	I/IIa	1807.233	61.879	1302	1748	108.252	39.261	NaN
