 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Perinuclei
410	IIx	1159.224	49.779	1792	838	168.408	39.330	NaN
411	IIa	792.618	53.272	402	814	144.071	24.913	NaN
412	IIb	101.227	18.755	837	817	126.870	8.149	NaN
413	IIa	766.823	38.074	808	819	119.511	31.479	NaN
414	I	1160.787	69.473	1354	820	137.553	26.196	NaN
415	IIa	288.829	24.629	1464	822	113.962	15.004	NaN
416	IIa	598.763	46.186	1309	823	140.492	19.448	NaN
417	IIa	1142.418	54.145	372	827	143.924	29.280	NaN
418	IIa	517.078	37.847	1488	826	120.801	21.212	NaN
419	IIa	707.416	41.228	1400	827	130.696	29.038	NaN
420	IIa	909.870	57.410	1579	833	141.633	22.054	NaN
421	I	1204.952	46.216	304	845	156.903	37.240	NaN
422	IIb	81.685	17.516	1233	846	34.824	7.159	NaN
423	IIa	899.708	47.332	1648	843	167.800	32.649	NaN
424	I	992.336	52.350	941	845	139.844	28.100	NaN
425	IIa	460.797	27.486	896	852	162.801	23.695	NaN
426	IIa	281.012	24.059	1293	837	114.567	16.216	NaN
427	IIa	332.994	26.383	748	876	53.673	20.005	NaN
428	I	950.517	55.316	580	842	124.408	25.829	NaN
429	IIa	1462.514	63.586	494	848	149.906	32.318	NaN
430	IIb	279.058	27.308	841	877	15.945	18.554	NaN
431	IIa	849.681	50.111	1245	858	139.554	29.478	NaN
432	IIa	741.419	42.031	1737	853	157.249	29.383	NaN
433	IIa	914.560	53.768	622	850	113.286	22.644	NaN
434	I	1150.626	50.345	673	922	61.844	33.759	NaN
435	IIb	1136.555	51.439	1564	851	106.232	38.984	NaN
436	IIa	1284.683	54.447	1895	866	158.443	32.509	NaN
437	IIa	935.274	44.189	1050	861	154.885	31.822	NaN
438	I/IIa	857.107	45.324	1124	855	114.444	29.491	NaN
439	I	1100.208	54.776	1454	860	128.047	28.734	NaN
440	IIa	1295.626	52.752	1844	862	121.430	35.463	NaN
441	IIa	1227.621	54.170	278	864	108.853	33.647	NaN
442	IIa	555.380	33.416	1299	874	162.582	25.511	NaN
443	IIa	1085.747	53.121	1005	943	63.435	32.013	NaN
444	IIa	674.195	51.814	938	869	138.424	17.862	NaN
445	I	1192.445	51.723	762	876	153.435	32.027	NaN
446	IIa	1646.208	74.122	464	875	140.133	31.078	NaN
447	I	1344.872	68.840	1207	881	140.528	30.628	NaN
